,Book Author,Book Owner,Publication Year
422,José Gerardo Manrique de Lara,Ernest Hemingway,1956
423,George Pinney Hunt,Ernest Hemingway,1957
424,Todhunter Ballard,Ernest Hemingway,1957
425,Erich von Manstein,Ernest Hemingway,1958
426,Leslie Alexis Marchand,Ernest Hemingway,1957
427,C. W. Ceram,Ernest Hemingway,1956
428,Sister Maria del Rey,Ernest Hemingway,1955
429,Julián Marías Aguilera,Ernest Hemingway,1956
430,Julián Marías Aguilera,Ernest Hemingway,1955
431,Jacques Maritain,Ernest Hemingway,1958
432,John P. Marquand,Ernest Hemingway,1958
433,Herbert Gold,Ernest Hemingway,1956
434,William Golding,Ernest Hemingway,1955
435,John P. Marquand,Ernest Hemingway,1957
436,John P. Marquand,Ernest Hemingway,1958
437,René Marqués,Ernest Hemingway,1955
438,Marino Gómez-Santos,Ernest Hemingway,1956
439,Vicente Marrero Suárez,Ernest Hemingway,1955
440,Anselmo González Climent,Ernest Hemingway,1955
441,Eugene Marie Marron,Ernest Hemingway,1957
442,Venancio González García,Ernest Hemingway,1958
443,Edward Goodman,Ernest Hemingway,1956
444,George Jerome Waldo Goodman,Ernest Hemingway,1955
445,Bruce Marshall,Ernest Hemingway,1958
446,Mike Gorman,Ernest Hemingway,1956
447,Juan Goytisolo,Ernest Hemingway,1959
448,Carol Grace,Ernest Hemingway,1955
449,Sheilah Graham,Ernest Hemingway,1958
450,William Franklin (Billy) Graham,Ernest Hemingway,1955
451,James Andrew Peterson,Ernest Hemingway,1956
452,Shirley Ann Grau,Ernest Hemingway,1955
453,Charles Grayson,Ernest Hemingway,1958
454,Rocky Graziano,Ernest Hemingway,1955
455,Gerald Green,Ernest Hemingway,1956
456,Graham Greene,Ernest Hemingway,1955
457,Graham Greene,Ernest Hemingway,1955
458,Graham Greene,Ernest Hemingway,1958
459,Graham Greene,Ernest Hemingway,1956
460,Graham Greene,Ernest Hemingway,1955
461,Harold Greenwald,Ernest Hemingway,1958
462,Jackson Gregory,Ernest Hemingway,1956
463,William Lindsay Gresham,Ernest Hemingway,1959
464,Richard Condon,Ernest Hemingway,1958
465,William Congreve,Ernest Hemingway,1956
466,Cyril Connolly,Ernest Hemingway,1957
467,Barnaby Conrad,Ernest Hemingway,1957
468,Jack Randolph Conrad,Ernest Hemingway,1957
469,John Gregory Conway,Ernest Hemingway,1958
470,Beatrice Gray Cook,Ernest Hemingway,1955
471,Gwyn Griffin,Ernest Hemingway,1959
472,Harold J. Grossman,Ernest Hemingway,1955
473,Davis Grubb,Ernest Hemingway,1955
474,Thomas Anderson,Ernest Hemingway,1957
475,Frank Gruber,Ernest Hemingway,1956
476,Laurie W. Andrews,Ernest Hemingway,1956
477,Avner Gruszow,Ernest Hemingway,1959
478,Jean Guichard du Plessis,Ernest Hemingway,1955
479,Guides Michelin,Ernest Hemingway,1956
480,John Gunther,Ernest Hemingway,1958
481,Klaus Günther,Ernest Hemingway,1956
482,Diana Cooper,Ernest Hemingway,1959
483,Diana Cooper,Ernest Hemingway,1958
484,James Edward Corbett,Ernest Hemingway,1957
485,Jim Corbett,Ernest Hemingway,1955
486,Arsénio Cordeiro,Ernest Hemingway,1959
487,Juan Cortés Salido,Ernest Hemingway,1957
488,Alfred Bertram Guthrie,Ernest Hemingway,1956
489,Martín Luis Guzmán,Ernest Hemingway,1959
490,Gilbert Hackforth-Jones,Ernest Hemingway,1955
491,Leila Hadley,Ernest Hemingway,1958
492,H. Rider Haggard,Ernest Hemingway,1957
493,Francis Haines,Ernest Hemingway,1955
494,William Wister Haines,Ernest Hemingway,1957
495,H.C.M. Hakkenberg van Gaasbeek,Ernest Hemingway,1955
496,Nicholas Halasz,Ernest Hemingway,1955
497,Nancy Hale,Ernest Hemingway,1955
498,Nancy Hale,Ernest Hemingway,1955
499,Oakley M. Hall,Ernest Hemingway,1958
500,Roger Hall,Ernest Hemingway,1959
501,Ernest Milton Halliday,Ernest Hemingway,1956
502,Robert Halsband,Ernest Hemingway,1956
503,Elizabeth Hamilton,Ernest Hemingway,1957
504,Catherine Tilley Hammett,Ernest Hemingway,1958
505,Han Suyin,Ernest Hemingway,1956
506,Henno Martin,Ernest Hemingway,1958
507,Robert Martin,Ernest Hemingway,1957
508,Carmen Martín Gaite,Ernest Hemingway,1958
509,Andrés Martínez de León,Ernest Hemingway,1956
510,Ricardo L. Martínez Hauradou,Ernest Hemingway,1955
511,Harry Martinson,Ernest Hemingway,1955
512,Richard Mason,Ernest Hemingway,1957
513,Ludovic Massé,Ernest Hemingway,1955
514,Ludovic Massé,Ernest Hemingway,1955
515,John Masters,Ernest Hemingway,1956
516,John Masters,Ernest Hemingway,1959
517,John Masters,Ernest Hemingway,1957
518,Berkely Mather,Ernest Hemingway,1959
