,Book Author,Book Owner,Book Title,Publication Year
583,lansford warren hastings,ernest hemingway,The emigrants' guide to Oregon and California. Facsimile edition of original 1845 edition.,1932
584,xavier de hauteclocque,ernest hemingway,Pègre et police internationales,1934
585,charles boardman hawes,ernest hemingway,The dark frigate; wherein is told the story of Philip Marsham who lived in the time of King Charles,1925
586,peter hawker,ernest hemingway,Instructions to young sportsmen in all that relates to guns and shooting,1922
587,peter hawker,ernest hemingway,Instructions to young sportsmen in all that relates to guns and shooting,1922
588,marcel coulon,ernest hemingway,"Verlaine, poète saturnien",1929
589,john stuart mill,ernest hemingway,"Utilitarianism, Liberty, and Representative government",1936
590,noel coward,ernest hemingway,To step aside; seven short stories,1939
591,malcolm cowley,ernest hemingway,After the genteel tradition; American writers since 1910,1937
592,william d. cox,ernest hemingway,Boxing in art and literature,1935
593,james gould cozzens,ernest hemingway,S.S. San Pedro,1931
594,john d. craig,ernest hemingway,Danger is my business,1938
595,stephen crane,ernest hemingway,"Maggie, together with George's mother and The blue hotel",1931
596,julian huxley,ernest hemingway,Africa view,1931
597,j.-k huysmans,ernest hemingway,Against the grain (Á rebours),1930
598,jack iams,ernest hemingway,Table for four,1939
599,[n.auth],ernest hemingway,Illustrated Guide of the Dolomites,1939
600,arturo imaz baume,ernest hemingway,Cacería : Obra escrita originalmente,1938
601,bravig imbs,ernest hemingway,Confessions of another young man,1936
602,[n.auth],ernest hemingway,Livre brun sur l'incendie du Reichstag et la terreur hitlérienne,1933
603,infantry school (u.s.),ernest hemingway,Infantry in battle,1939
604,edna st. vincent millay,ernest hemingway,Poems selected for young people,1929
605,william inglis,ernest hemingway,Champions off guard,1932
606,prentiss ingraham,ernest hemingway,Freelance the buccaneer,1931
607,henry miller,ernest hemingway,The cosmological eye,1939
608,fernand victor millet,ernest hemingway,"Les grands animaux sauvages de l'Annam, leurs moeurs, leur chasse et leur tir",1930
609,robert andrews millikan,ernest hemingway,New elementary physics,1936
610,walter millis,ernest hemingway,"Road to war: America, 1914-1917",1935
611,robert lock graham irving,ernest hemingway,The romance of mountaineering,1935
612,inez haynes gillmore,ernest hemingway,The poison cross mystery,1936
613,humphrey cotton minchin (ed.),ernest hemingway,"Great short stories of the war: England, France, Germany, America",1930
614,enrique [pensamientos] minguet y calderón de la barca,ernest hemingway,Desde la grada: Anuario taurino de 1925,1925
615,jacinto miquelarena,ernest hemingway,Traqué dans Madrid (El otro mundo),1938
616,edith ronald mirrielees (ed.),ernest hemingway,Significant contemporary stories,1929
617,l. mitchell-henry,ernest hemingway,Tunny fishing at home & abroad,1934
618,l. mitchell-henry,ernest hemingway,Tunny fishing at home & abroad,1934
619,charlotte anne elizabeth moberly,ernest hemingway,An adventure,1939
620,andré maurois,ernest hemingway,Bernard Quesnay,1926
621,andré maurois,ernest hemingway,Disraeli: a picture of the Victorian age,1928
622,andré maurois,ernest hemingway,King Edward and his times,1933
623,richard maury,ernest hemingway,"The saga of ""Cimba""",1939
624,florence lewis may,ernest hemingway,Hispanic lace and lace making,1939
625,robert j. mayo,ernest hemingway,Adventures in Minnesota history,1931
626,julius meier-graefe,ernest hemingway,The Spanish journey,1927
627,dmitry sergeyevich merezhkovsky,ernest hemingway,The romance of Leonardo da Vinci,1928
628,comtesse de maría de las mercedes santa cruz y montalvo merlin,ernest hemingway,Mis doce primeros años,1922
629,edward harry william meyerstein,ernest hemingway,A life of Thomas Chatterton,1930
630,leo vincent jacks,ernest hemingway,"Xenophon, soldier of fortune",1930
631,sir frederick john jackson,ernest hemingway,"Notes on the game birds of Kenya and Uganda (including the sand-grouse, pigeons, snipe, bustards, geese, and ducks)",1926
632,césar jalón,ernest hemingway,Grandezas y miserias del toreo,1933
633,edmond jaloux,ernest hemingway,"L'Agonie de l'amour, roman. Bois originaux en couleurs de Marcel Gaillard",1931
634,henry james,ernest hemingway,The art of the novel,1934
635,henry james,ernest hemingway,The prefaces of Henry James,1931
636,henry james,ernest hemingway,The turn of the screw and The lesson of the master,1930
637,deneys reitz,ernest hemingway,Afrikander,1933
638,ernest renan,ernest hemingway,The life of Jesus,1927
639,carlos reyles,ernest hemingway,Castanets,1929
640,cora jarrett,ernest hemingway,Strange houses; a tale,1936
641,le corbusier,ernest hemingway,"Une maison - un palais. ""A la recherche d'une unité architecturale.""",1929
642,bertram frederick jearey,ernest hemingway,Pride of lions,1936
643,frank jellinek,ernest hemingway,The civil war in Spain,1938
644,ceferino de jemein y lanbarí,ernest hemingway,Biografía de Arana-Goiri't_a_ Sabin e historia gráfica del nacionalismo,1935
645,thomas craven,ernest hemingway,Men of art,1931
646,thomas craven,ernest hemingway,"Modern art; the men, the movements, the meaning",1934
647,ivo crecchi,ernest hemingway,"Nel cerchio della guerra, raccolta di scritti originali",1925
648,rené crevel,ernest hemingway,Renée Sintenis,1930
649,kyle samuel crichton,ernest hemingway,Redder than the rose,1935
